"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"[""2003 <= Year >= 2026""]"																																												
	2003	1	20	8	43	6	4	1	2401	7.3			"n"	"SOLOMON ISLANDS"		"HONIARA, GUADALCANAL"	-9.429	159.955	147.59498181883043	20	9	43	1	0				0.03		2	24													
	2003	1	20	8	43	6	4	1	2401	7.3			"n"	"SOLOMON ISLANDS"		"MAKIRA ISLAND (SAN CRISTOBAL)"	-10.2386	161.4673	81.3078913006509	20	0	0						2		1														
	2003	1	22	2	6	34.6	4	1	2402	7.5			"n"	"MEXICO"	"COLIMA"	"MANZANILLO"	19.05	-104.333	39.27595047232999	22	2	18	0	12				0.61		2		"R"												
	2003	1	22	2	6	34.6	4	1	2402	7.5			"n"	"MEXICO"	"MICHOACAN"	"LAZARO CARDENAS"	17.94	-102.17833	223.296370455539	22	2	49	0	43				0.12		2														
	2003	1	22	2	6	34.6	4	1	2402	7.5			"n"	"MEXICO"	"GUERRERO"	"ZIHUATANEJO"	17.6361833	-101.5581833	297.1014533368785	22	2	57	0	51				0.35		2														
	2003	1	22	2	6	34.6	4	1	2402	7.5			"n"	"CANADA"	"BC"	"WINTER HARBOR, BRITISH COLUMBIA"	50.513	-128.028	4109.1980507763965				10	0	23	6	30	0.04		2	23													
	2003	1	22	2	6	34.6	4	1	2402	7.5			"n"	"CANADA"	"BC"	"TOFINO (CLAYOQUOT),BRITISH COLUMBIA"	49.153	-125.913	3895.981269194548	22	9	30	7	30	23	13	0	0.05		2	6													
	2003	1	22	2	6	34.6	4	1	2402	7.5			"n"	"CANADA"	"BC"	"BAMFIELD, BRITISH COLUMBIA"	48.837	-125.137	3833.5729017995827	22	9	0	7	0	23	13	0	0.04		2	5													
	2003	2	15	11	1	59	3	3	5995	6.3			"n"	"PHILIPPINES"		"TICAO ISLAND"	12.62	123.6	72.20352742177612											1														
	2003	5	21	18	44	20.1	4	1	2403	6.8			"n"	"SPAIN"		"PUERTO DE MAHON"	39.883	4.25	328.4543187931603									2		1										1				
